Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
DBBralyn LuxCIN,Bralyn Lux,CB,"$843,333 ",Cincinnati Bengals,DB,CIN,10
WRBrandin CooksNO,Brandin Cooks,WR,"$3,154,110 ",New Orleans Saints,WR,NO,11
DBBrandin EcholsPIT,Brandin Echols,CB,"$2,085,000 ",Pittsburgh Steelers,DB,PIT,5
WRBrandon AiyukSF,Brandon Aiyuk,WR,"$9,917,105 ",San Francisco 49ers,WR,SF,14
QBBrandon AllenTEN,Brandon Allen,QB,"$1,197,500 ",Tennessee Titans,QB,TEN,10
KBrandon AubreyDAL,Brandon Aubrey,K,"$1,030,000 ",Dallas Cowboys,K,DAL,10
DBBrandon CodringtonBUF,Brandon Codrington,CB,"$960,000 ",Buffalo Bills,DB,BUF,7
DBBrandon CrossleyNE,Brandon Crossley,CB,"$840,333 ",New England Patriots,DB,NE,14
DLBrandon DorlusATL,Brandon Dorlus,DT,"$1,165,599 ",Atlanta Falcons,DL,ATL,5
LBBrandon GeorgeKC,Brandon George,LB,"$845,000 ",Kansas City Chiefs,LB,KC,10
DBBrandon JohnsonPHI,Brandon Johnson,CB,"$846,666 ",Philadelphia Eagles,DB,PHI,9
WRBrandon JohnsonPIT,Brandon Johnson,WR,"$1,100,000 ",Pittsburgh Steelers,WR,PIT,5
DBBrandon JonesDEN,Brandon Jones,S,"$9,053,333 ",Denver Broncos,DB,DEN,12
KBrandon McManusGB,Brandon McManus,K,"$3,490,195 ",Green Bay Packers,K,GB,5
DLBrandon PiliSEA,Brandon Pili,DT,"$1,030,000 ",Seattle Seahawks,DL,SEA,8
DBBrandon StephensNYJ,Brandon Stephens,CB,"$4,000,000 ",New York Jets,DB,NYJ,9
LBBranson CombsJAC,Branson Combs,LB,"$845,000 ",Jacksonville Jaguars,LB,JAC,8
RBBrashard SmithKC,Brashard Smith,RB,"$873,369 ",Kansas City Chiefs,RB,KC,10
WRBraxton BerriosHOU,Braxton Berrios,WR,"$1,670,588 ",Houston Texans,WR,HOU,6
TEBrayden WillisSF,Brayden Willis,TE,"$1,030,000 ",San Francisco 49ers,TE,SF,14
RBBreece HallNYJ,Breece Hall,RB,"$4,340,050 ",New York Jets,RB,NYJ,9
TEBrenden BatesCLE,Brenden Bates,TE,"$960,000 ",Cleveland Browns,TE,CLE,9
WRBrenden RiceLAC,Brenden Rice,WR,"$988,648 ",Los Angeles Chargers,WR,LAC,12
DBBrenden SchoolerNE,Brenden Schooler,S,"$2,725,000 ",New England Patriots,DB,NE,14
DLBrennan JacksonLAR,Brennan Jackson,DE,"$1,042,342 ",Los Angeles Rams,DL,LAR,8
WRBrennan PresleyLAR,Brennan Presley,WR,"$841,333 ",Los Angeles Rams,WR,LAR,8
LBBrenton Cox Jr.GB,Brenton Cox Jr.,LB,"$1,033,000 ",Green Bay Packers,LB,GB,5
TEBrenton StrangeJAC,Brenton Strange,TE,"$1,667,545 ",Jacksonville Jaguars,TE,JAC,8
QBBrett RypienMIN,Brett Rypien,QB,"$1,055,000 ",Minnesota Vikings,QB,MIN,6
TEBrevin JordanHOU,Brevin Jordan,TE,"$1,552,941 ",Houston Texans,TE,HOU,6
TEBrevyn Spann-FordDAL,Brevyn Spann-Ford,TE,"$966,666 ",Dallas Cowboys,TE,DAL,10
LBBrian AsamoahMIN,Brian Asamoah,LB,"$1,745,816 ",Minnesota Vikings,LB,MIN,6
DBBrian BranchDET,Brian Branch,S,"$2,187,744 ",Detroit Lions,DB,DET,8
LBBrian BurnsNYG,Brian Burns,OLB,"$17,750,000 ",New York Giants,LB,NYG,14
RBBrian Robinson Jr.SF,Brian Robinson Jr.,RB,"$3,618,255 ",San Francisco 49ers,RB,SF,14
WRBrian Thomas Jr.JAC,Brian Thomas Jr.,WR,"$3,331,813 ",Jacksonville Jaguars,WR,JAC,8
