Player,Pos,Attempts,Comps,Pass Yards,Pass TDs,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections,Actuals,Rank
Mac Jones,QB,31.65,20.1,208.53,1.17,0.9,,,,7.71,,0.42,13.37,0,85
DJ Moore,WR,,,,,,4.49,56.5,0.46,3.97,,0.03,13.31,0,86
Hollywood Brown,WR,,,,,,4.55,55.47,0.5,1.22,,0.03,13.24,0,87
Marvin Harrison,WR,,,,,,4.38,53.5,0.56,0.86,,0.03,13.15,0,88
Michael Pittman,WR,,,,,,4.97,59.06,0.36,0.3,,0.03,13.04,0,89
Jordan Mason,RB,,,,,,1.52,12.18,,64.72,0.64,0.08,13.03,0,90
Jerry Jeudy,WR,,,,,,4.74,56.5,0.41,0.69,,0.02,12.91,0,91
Jameson Williams,WR,,,,,,3.88,60.51,0.43,3.87,,0.03,12.88,0,92
Terry McLaurin,WR,,,,,,4.5,55.5,0.46,0.54,,0.03,12.85,0,93
Ricky Pearsall,WR,,,,,,4.49,59.84,,3.46,,0.03,12.74,0,94
Calvin Ridley,WR,,,,,,4.45,55.5,0.41,1.48,,0.03,12.6,0,95
DeVonta Smith,WR,,,,,,4.54,54.5,0.43,0.26,,0.03,12.58,0,96
Spencer Rattler,QB,32.93,19.97,195.26,0.83,0.83,,,,22.0,,0.29,12.56,0,97
Jaylen Waddle,WR,,,,,,4.47,50.5,0.48,0.94,,0.03,12.49,0,98
Rashid Shaheed,WR,,,,,,4.02,62.24,,2.11,,0.06,12.44,0,99
David Montgomery,RB,,,,,,1.71,12.86,,47.45,0.78,0.06,12.42,0,100
Sam LaPorta,TE,,,,,,4.43,48.5,0.47,,,0.03,12.09,0,101
Aaron Jones,RB,,,,,,2.59,16.8,,45.59,0.54,0.08,12.06,0,102
Keon Coleman,WR,,,,,,3.73,56.81,0.43,0.29,,0.04,12.0,0,103
TreVeyon Henderson,RB,,,,,,2.7,21.47,,37.5,0.52,0.05,11.7,0,104
Rome Odunze,WR,,,,,,3.66,54.11,0.43,0.39,,0.03,11.67,0,105
Nick Chubb,RB,,,,,,1.43,10.95,,60.53,0.49,0.08,11.49,0,106
Travis Hunter,WR,,,,,,4.28,46.16,0.39,2.06,,0.02,11.45,0,107
Khalil Shakir,WR,,,,,,3.98,48.27,0.43,0.67,,0.03,11.43,0,108
T.J. Hockenson,TE,,,,,,4.43,44.06,0.43,,,0.03,11.4,0,109
Tyler Warren,TE,,,,,,4.43,44.51,0.38,1.67,,0.06,11.32,0,110
Jauan Jennings,WR,,,,,,4.05,52.59,,0.27,,0.03,11.08,0,111
David Njoku,TE,,,,,,4.37,44.8,0.37,,,0.02,11.06,0,112
Keenan Allen,WR,,,,,,3.69,45.98,0.44,0.23,,0.04,10.93,0,113
Stefon Diggs,WR,,,,,,4.28,40.5,0.41,0.59,,0.03,10.87,0,114
Kenneth Walker,RB,,,,,,2.23,15.25,,43.27,0.44,0.07,10.75,0,115
Christian Kirk,WR,,,,,,3.75,51.36,,0.41,,0.03,10.61,0,116
Mark Andrews,TE,,,,,,3.49,40.69,0.5,0.36,,0.03,10.61,0,117
Cooper Kupp,WR,,,,,,3.8,47.06,0.32,0.74,,0.02,10.47,0,118
Calvin Austin,WR,,,,,,3.48,47.84,0.34,0.74,,0.02,10.4,0,119
Isiah Pacheco,RB,,,,,,1.75,11.24,,47.85,0.45,0.05,10.38,0,120
Zach Charbonnet,RB,,,,,,2.19,15.39,,40.4,0.43,0.05,10.33,0,121
Cedric Tillman,WR,,,,,,3.69,45.38,0.32,0.22,,0.02,10.2,0,122
Tucker Kraft,TE,,,,,,3.66,40.5,0.41,0.04,,0.03,10.15,0,123
Wan'Dale Robinson,WR,,,,,,4.13,41.19,0.28,1.84,,0.03,10.12,0,124
Dallas Goedert,TE,,,,,,3.82,43.26,0.32,0.3,,0.03,10.07,0,125
Jayden Reed,WR,,,,,,3.23,39.5,0.41,3.75,,0.04,10.01,0,126
Austin Ekeler,RB,,,,,,3.25,23.5,,22.5,0.36,0.06,10.0,0,127
